locked,name,emptySlots,longitude,installed,latitude,temporary,@ID,bikesAvailable
false,"Cardinal Place, Victoria",13,-0.141943703,true,51.49768448,false,316,11
false,"Baldwin Street, St. Luke's",17,-0.088542771,true,51.52702563,false,319,4
false,"Sackville Street, Mayfair",17,-0.138846453,true,51.51004801,false,318,0
false,"Elizabeth Bridge, Victoria",0,-0.147478734,true,51.49236962,false,288,34
false,"South Audley Street, Mayfair",14,-0.151296092,true,51.50923022,false,289,1
false,"Winsland Street, Paddington",2,-0.175488803,true,51.51678023,false,290,13
false,"Claverton Street, Pimlico",1,-0.138089062,true,51.48483991,false,291,30
false,"Montpelier Street, Knightsbridge",9,-0.165471605,true,51.49888404,false,292,7
false,"Kensington Olympia Station, Olympia",12,-0.209494128,true,51.49815779,false,293,13
false,"St. George's Square, Pimlico",3,-0.135635511,true,51.488226,false,294,13
false,"Swan Street, The Borough",1,-0.092762704,true,51.50029631,false,295,25
false,"Knaresborough Place, Earl's Court",0,-0.190603326,true,51.49363156,false,296,18
false,"Geraldine Street, Elephant & Castle",6,-0.106000855,true,51.49612799,false,297,10
false,"Curlew Street, Shad Thames",0,-0.074189225,true,51.50227992,false,298,18
false,"Vincent Square, Westminster",4,-0.136928582,true,51.49398524,false,299,15
false,"Serpentine Car Park, Hyde Park",6,-0.172729559,true,51.50501351,false,300,2
false,"Marylebone Lane, Marylebone",24,-0.148105415,true,51.51475963,false,301,0
false,"Albert Gate, Hyde Park",5,-0.158456089,true,51.50295379,false,303,19
false,"London Zoo Car Park, Regent's Park",1,-0.150181444,true,51.53692216,false,343,34
false,"Craven Street, Strand",22,-0.12602103,true,51.50810309,false,341,1
false,"Bank of England Museum, Bank",16,-0.087587447,true,51.51444134,false,340,0
false,"Risinghill Street, Angel",1,-0.111781191,true,51.5333196,false,339,23
false,"Wellington Street , Strand",13,-0.119643424,true,51.51175646,false,338,1
false,"Pembridge Villas, Notting Hill",11,-0.197524944,true,51.51108452,false,337,4
false,"Concert Hall Approach 2, South Bank",7,-0.115533,true,51.504942,false,336,11
false,"Macclesfield Rd, St Lukes",2,-0.097122,true,51.529423,false,351,25
false,"Queen's Gate, Kensington Gardens",8,-0.1798541843891,true,51.5017154373867,false,350,11
false,"St. George Street, Mayfair",18,-0.142783033,true,51.51196,false,349,0
false,"Grosvenor Square, Mayfair",14,-0.150481272,true,51.51217033,false,348,3
false,"Lower Marsh, Waterloo",14,-0.113936001,true,51.50013942,false,347,2
false,"Flood Street, Chelsea",17,-0.166878535,true,51.48802358,false,345,1
false,"Goswell Road (City Uni), Finsbury",4,-0.10102611,true,51.528246,false,344,13
false,"Graham Street, Angel",3,-0.099981142,true,51.53266186,false,326,23
false,"New North Road 1, Hoxton",6,-0.086016,true,51.53114,false,327,16
false,"Ontario Street, Elephant & Castle",0,-0.101384068,true,51.49652013,false,324,15
false,"St. Martin's Street, West End",14,-0.129697889,true,51.50908747,false,325,4
false,"Palissy Street, Shoreditch",6,-0.073955,true,51.526293,false,322,20
false,"Clifton Street, Shoreditch",21,-0.083067,true,51.523196,false,323,3
false,"Queen Mother Sports Centre, Victoria",16,-0.139956043,true,51.49357351,false,320,9
false,"Bermondsey Street, Bermondsey",3,-0.081608045,true,51.49785559,false,321,19
false,"Concert Hall Approach 1, South Bank",4,-0.115851,true,51.505044,false,334,6
false,"Tavistock Street, Covent Garden",33,-0.120718759,true,51.51196803,false,335,0
false,"Nevern Place, Earl's Court",4,-0.194757949,true,51.49334336,false,332,14
false,"Palace Gardens Terrace, Notting Hill",26,-0.193764092,true,51.50860544,false,333,9
false,"Eastbourne Mews, Paddington",25,-0.179135079,true,51.51641749,false,330,8
false,"Bunhill Row, Moorgate",29,-0.089887855,true,51.52085887,false,331,0
false,"New North Road 2, Hoxton",5,-0.085603,true,51.53095,false,328,17
false,"Prince Albert Road, Regent's Park",3,-0.160854428,true,51.53589283,false,329,21
false,"Prince Consort Road, Knightsbridge",18,-0.176415994,true,51.49980661,false,373,0
false,"Sardinia Street, Holborn",23,-0.117863,true,51.515208,false,372,0
false,"Kensington Town Hall, Kensington",17,-0.194392952,true,51.50194596,false,375,1
false,"Waterloo Station 1, Waterloo",5,-0.11386435,true,51.50402793,false,374,31
